City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mahebourg,MU,72.27,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
6,Kavieng,PG,82.9,moderate rain,-2.5744,150.7967,Nusa Island Retreat
8,Rikitea,PF,76.12,clear sky,-23.1203,-134.9692,Pension Maro'i
11,San Patricio,US,83.12,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
18,Yarmouth,US,77.22,broken clouds,41.7057,-70.2286,Blue Rock Resort
19,Bambous Virieux,MU,72.37,scattered clouds,-20.3428,57.7575,Casa Tia Villa
21,Eydhafushi,MV,82.98,overcast clouds,5.1033,73.0708,Soneva Fushi
23,Manokwari,ID,82.27,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
25,Champasak,LA,78.08,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
26,Itaueira,BR,79.11,clear sky,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
27,Saint Andrews,US,75.33,overcast clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
29,Lompoc,US,75.02,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
30,Luzhou,CN,79.09,scattered clouds,28.8724,105.4405,Shijichun Hotel
31,Lianzhou,CN,76.32,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
38,Butaritari,KI,82.45,light rain,3.0707,172.7902,Isles Sunset Lodge
42,Sola,VU,79.34,overcast clouds,-13.8833,167.55,Leumerus Bungalows
43,Atakpame,TG,71.51,overcast clouds,7.5333,1.1333,Hôtel sahélien
47,Vanimo,PG,84.52,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
49,Columbia,US,75.24,clear sky,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
54,Jamestown,US,74.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
57,Namibe,AO,71.29,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
59,Codajas,BR,73.83,few clouds,-3.8367,-62.0569,Hotel Tamires
60,Hithadhoo,MV,82.92,overcast clouds,-0.6,73.0833,Scoop Guest House
61,Tuburan,PH,80.49,overcast clouds,6.6439,122.2736,GT Site
64,Cherskiy,RU,70.11,scattered clouds,68.75,161.3,Gostinitsa
67,Aswan,EG,77.95,clear sky,24.0934,32.907,Nuba Nile
75,Cockburn Town,TC,80.1,clear sky,21.4612,-71.1419,Osprey Beach Hotel
76,Fairbanks,US,74.08,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
77,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
78,Calderitas,MX,84.0,overcast clouds,18.55,-88.25,Hotel Hacienda Campestre
80,Abeche,TD,80.4,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
81,Mareeba,AU,73.49,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
82,Nakano,JP,70.38,overcast clouds,36.75,138.3667,Hotel Route Inn Nakano
87,Kavaratti,IN,82.83,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
93,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
96,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
98,Cuajinicuilapa,MX,84.33,overcast clouds,16.4667,-98.4167,Pozo S. XVI
102,Souillac,MU,71.28,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
105,Saint-Philippe,RE,71.47,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
115,Kilindoni,TZ,78.93,light rain,-7.9139,39.6668,Bustani B&B
116,Sulangan,PH,82.47,scattered clouds,11.1373,123.7228,Maia's Beach Resort
118,Corpus Christi,US,83.01,few clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
121,Chizhou,CN,79.45,clear sky,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
122,Lampang,TH,79.12,overcast clouds,18.3333,99.5,Mrs Luis Guest House
