City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Belozerskoye,RU,55.8214,65.5842,54.99,66,5,4.81,clear sky
1,Mahebourg,MU,-20.4081,57.7,72.27,81,28,3.36,scattered clouds
2,Rawson,AR,-43.3002,-65.1023,45.37,56,0,12.03,clear sky
3,Hermanus,ZA,-34.4187,19.2345,60.91,44,7,8.59,clear sky
4,Bluff,NZ,-46.6,168.3333,49.8,71,74,5.77,broken clouds
5,Albany,US,42.6001,-73.9662,79.45,67,6,9.62,clear sky
6,Kavieng,PG,-2.5744,150.7967,82.9,73,100,3.65,moderate rain
7,Port Alfred,ZA,-33.5906,26.891,56.82,63,0,12.64,clear sky
8,Rikitea,PF,-23.1203,-134.9692,76.12,79,8,13.02,clear sky
9,Torbay,CA,47.6666,-52.7314,54.28,97,100,1.99,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,6.76,clear sky
11,San Patricio,US,28.017,-97.5169,83.12,79,0,9.22,clear sky
12,Eckernforde,DE,54.4667,9.8333,63.32,80,100,7.4,overcast clouds
13,Vikulovo,RU,56.8167,70.6107,57.76,70,19,10.65,few clouds
14,Kapaa,US,22.0752,-159.319,87.78,68,20,3.0,few clouds
15,Khani,GE,41.9563,42.9566,51.37,94,88,1.03,overcast clouds
16,Cafarnaum,BR,-11.6936,-41.4683,66.07,80,80,9.86,broken clouds
17,Yerbogachen,RU,61.2767,108.0108,54.3,37,75,3.98,broken clouds
18,Yarmouth,US,41.7057,-70.2286,77.22,80,75,11.99,broken clouds
19,Bambous Virieux,MU,-20.3428,57.7575,72.37,81,35,3.33,scattered clouds
20,Khatanga,RU,71.9667,102.5,35.17,77,100,12.3,overcast clouds
21,Eydhafushi,MV,5.1033,73.0708,82.98,75,100,15.23,overcast clouds
22,Lebu,CL,-37.6167,-73.65,49.87,77,100,12.33,overcast clouds
23,Manokwari,ID,-0.8667,134.0833,82.27,71,100,4.21,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,31.66,93,0,4.61,clear sky
25,Champasak,LA,14.75,106.0,78.08,91,100,2.17,overcast clouds
26,Itaueira,BR,-7.6033,-43.0256,79.11,48,0,9.35,clear sky
27,Saint Andrews,US,34.0454,-81.1293,75.33,77,90,1.01,overcast clouds
28,Cape Town,ZA,-33.9258,18.4232,61.12,37,12,6.02,few clouds
29,Lompoc,US,34.6391,-120.4579,75.02,78,75,13.0,broken clouds
30,Luzhou,CN,28.8724,105.4405,79.09,60,47,1.1,scattered clouds
31,Lianzhou,CN,24.7811,112.3825,76.32,67,0,1.57,clear sky
32,Busselton,AU,-33.65,115.3333,58.08,84,100,10.25,light rain
33,Bara,NG,10.3744,10.7288,80.51,68,96,8.21,overcast clouds
34,Rauma,FI,61.1272,21.5113,50.04,67,49,1.12,scattered clouds
35,Thinadhoo,MV,0.5333,72.9333,82.33,77,100,14.63,overcast clouds
36,East London,ZA,-33.0153,27.9116,56.62,65,0,12.06,clear sky
37,Sitka,US,57.0531,-135.33,55.29,71,75,8.05,light rain
38,Butaritari,KI,3.0707,172.7902,82.45,74,38,7.49,light rain
39,Richards Bay,ZA,-28.783,32.0377,61.45,83,97,2.75,overcast clouds
